date,value
5/05/2022,27
6/05/2022,22
7/05/2022,23
8/05/2022,18
9/05/2022,11
10/05/2022,10
11/05/2022,12
12/05/2022,12
13/05/2022,10
14/05/2022,9
15/05/2022,10
16/05/2022,14
17/05/2022,8
18/05/2022,12
19/05/2022,13
20/05/2022,13
21/05/2022,13
22/05/2022,14
23/05/2022,10
24/05/2022,12
25/05/2022,11
26/05/2022,12
27/05/2022,12
28/05/2022,13
29/05/2022,14
30/05/2022,10
31/05/2022,16
1/06/2022,17
2/06/2022,13
3/06/2022,10
4/06/2022,14
5/06/2022,10
6/06/2022,13
7/06/2022,15
8/06/2022,17
9/06/2022,11
10/06/2022,13
11/06/2022,12
12/06/2022,14
13/06/2022,11
14/06/2022,8
15/06/2022,7
16/06/2022,7
17/06/2022,9
18/06/2022,6
19/06/2022,6
20/06/2022,9
21/06/2022,9
22/06/2022,11
23/06/2022,11
24/06/2022,11
25/06/2022,14
26/06/2022,14
27/06/2022,12
28/06/2022,10
29/06/2022,13
30/06/2022,11
1/07/2022,11
2/07/2022,14
3/07/2022,11
4/07/2022,14
5/07/2022,19
6/07/2022,18
7/07/2022,18
8/07/2022,20
9/07/2022,24
10/07/2022,24
11/07/2022,22
12/07/2022,16
13/07/2022,15
14/07/2022,18
15/07/2022,15
16/07/2022,21
17/07/2022,24
18/07/2022,20
19/07/2022,30
20/07/2022,31
21/07/2022,34
22/07/2022,33
23/07/2022,31
24/07/2022,30
25/07/2022,30
26/07/2022,26
27/07/2022,28
28/07/2022,32
29/07/2022,39
30/07/2022,42
31/07/2022,39
1/08/2022,33
2/08/2022,31
3/08/2022,34
4/08/2022,30
5/08/2022,31
6/08/2022,31
7/08/2022,30
8/08/2022,30
9/08/2022,42
10/08/2022,31
11/08/2022,41
12/08/2022,42
13/08/2022,46
14/08/2022,47
15/08/2022,45
16/08/2022,44
17/08/2022,41
18/08/2022,30
19/08/2022,33
20/08/2022,29
21/08/2022,27
22/08/2022,29
23/08/2022,28
24/08/2022,25
25/08/2022,25
26/08/2022,27
27/08/2022,28
28/08/2022,28
29/08/2022,24
30/08/2022,27
31/08/2022,23
1/09/2022,20
2/09/2022,25
3/09/2022,21
4/09/2022,20
5/09/2022,23
6/09/2022,22
7/09/2022,24
8/09/2022,20
9/09/2022,22
10/09/2022,28
11/09/2022,26
12/09/2022,25
13/09/2022,34
14/09/2022,27
15/09/2022,28
16/09/2022,20
17/09/2022,22
18/09/2022,27
19/09/2022,21
20/09/2022,23
21/09/2022,23
22/09/2022,22
23/09/2022,20
24/09/2022,24
25/09/2022,24
26/09/2022,21
27/09/2022,20
28/09/2022,20
29/09/2022,22
30/09/2022,21
1/10/2022,20
2/10/2022,24
3/10/2022,24
4/10/2022,20
5/10/2022,25
6/10/2022,26
7/10/2022,23
8/10/2022,24
9/10/2022,22
10/10/2022,22
11/10/2022,24
12/10/2022,20
13/10/2022,20
14/10/2022,24
15/10/2022,24
16/10/2022,24
17/10/2022,20
18/10/2022,22
19/10/2022,23
20/10/2022,23
21/10/2022,23
22/10/2022,20
23/10/2022,23
24/10/2022,22
25/10/2022,20
26/10/2022,33
27/10/2022,32
28/10/2022,30
29/10/2022,34
30/10/2022,34
31/10/2022,31
1/11/2022,30
2/11/2022,30
